Date,Time,Day,Occupancy (%)
2023-08-18,17:59:45.508018,Friday,95
2023-08-18,18:00:45.536554,Friday,95
2023-08-18,18:01:45.565749,Friday,96
2023-08-18,18:02:45.598455,Friday,98
2023-08-18,18:03:45.630704,Friday,97
2023-08-18,18:04:45.659777,Friday,97
2023-08-18,18:05:45.689392,Friday,96
2023-08-18,18:06:45.716181,Friday,96
2023-08-18,18:07:45.742785,Friday,91
2023-08-18,18:08:45.772909,Friday,91
2023-08-18,18:09:45.807642,Friday,91
2023-08-18,18:10:45.839034,Friday,94
2023-08-18,18:11:45.871588,Friday,99
2023-08-18,18:12:45.902657,Friday,97
2023-08-18,18:13:45.933298,Friday,100
2023-08-18,18:14:45.963280,Friday,99
2023-08-18,18:15:45.994729,Friday,96
2023-08-18,18:16:46.021022,Friday,96
2023-08-18,18:17:46.047759,Friday,92
2023-08-18,18:18:46.074532,Friday,93
2023-08-18,18:19:46.102636,Friday,91
2023-08-18,18:20:46.125898,Friday,92
2023-08-18,18:21:46.186601,Friday,92
2023-08-18,18:22:46.218224,Friday,90
2023-08-18,18:23:46.248282,Friday,86
2023-08-18,18:24:46.277730,Friday,87
2023-08-18,18:25:46.308504,Friday,88
2023-08-18,18:26:46.339446,Friday,86
2023-08-18,18:27:46.368426,Friday,88
2023-08-18,18:28:46.425980,Friday,90
2023-08-18,18:29:46.457035,Friday,89
2023-08-18,18:30:46.489065,Friday,90
2023-08-18,18:31:46.523117,Friday,90
2023-08-18,18:32:46.548920,Friday,86
2023-08-18,18:33:46.579367,Friday,86
2023-08-18,18:34:46.606475,Friday,84
2023-08-18,18:35:46.631991,Friday,82
2023-08-18,18:36:46.668476,Friday,80
2023-08-18,18:37:46.696008,Friday,80
2023-08-18,18:38:46.748396,Friday,80
2023-08-18,18:39:46.862670,Friday,80
2023-08-18,18:40:46.894769,Friday,80
2023-08-18,18:41:46.924844,Friday,84
2023-08-18,18:42:46.953438,Friday,85
2023-08-18,18:43:46.983795,Friday,83
2023-08-18,18:44:47.009387,Friday,82
2023-08-18,18:45:47.037836,Friday,81
2023-08-18,18:46:47.063683,Friday,81
2023-08-18,18:47:47.094954,Friday,80
2023-08-18,18:48:47.129212,Friday,78
2023-08-18,18:49:47.213677,Friday,78
2023-08-18,18:50:47.243409,Friday,77
2023-08-18,18:51:47.270584,Friday,70
2023-08-18,18:52:47.329801,Friday,69
2023-08-18,18:53:47.348337,Friday,72
2023-08-18,18:54:47.370336,Friday,70
2023-08-18,18:55:47.388824,Friday,70
2023-08-18,18:56:47.419861,Friday,69
2023-08-18,18:57:47.449816,Friday,70
2023-08-18,18:58:47.477704,Friday,66
2023-08-18,18:59:47.506979,Friday,68
2023-08-18,19:00:47.535732,Friday,68
2023-08-18,19:01:47.569118,Friday,68
2023-08-18,19:02:47.601117,Friday,69
2023-08-18,19:03:47.633747,Friday,70
2023-08-18,19:04:47.664480,Friday,72
2023-08-18,19:05:47.697506,Friday,70
2023-08-18,19:06:47.728487,Friday,70
2023-08-18,19:07:47.755226,Friday,69
2023-08-18,19:08:47.787871,Friday,71
2023-08-18,19:09:47.812468,Friday,74
2023-08-18,19:10:47.837740,Friday,74
2023-08-18,19:11:47.868333,Friday,73
2023-08-18,19:12:47.885955,Friday,72
2023-08-18,19:13:47.923736,Friday,72
2023-08-18,19:14:48.049936,Friday,68
2023-08-18,19:15:48.079163,Friday,68
2023-08-18,19:16:48.108896,Friday,67
2023-08-18,19:17:48.137507,Friday,69
2023-08-18,19:18:48.170383,Friday,73
2023-08-18,19:19:48.199671,Friday,72
2023-08-18,19:20:48.228878,Friday,73
2023-08-18,19:21:48.255296,Friday,70
2023-08-18,19:22:48.284547,Friday,68
2023-08-18,19:23:48.349648,Friday,68
2023-08-18,19:24:48.385723,Friday,68
2023-08-18,19:25:48.421475,Friday,70
2023-08-18,19:26:48.450570,Friday,70
2023-08-18,19:27:48.480989,Friday,68
2023-08-18,19:28:48.510842,Friday,69
2023-08-18,19:29:48.538778,Friday,72
2023-08-18,19:30:48.569631,Friday,71
2023-08-18,19:31:48.601811,Friday,71
2023-08-18,19:32:48.648935,Friday,74
2023-08-18,19:33:48.677800,Friday,72
2023-08-18,19:34:48.706492,Friday,72
2023-08-18,19:35:48.728604,Friday,72
2023-08-18,19:36:48.754373,Friday,72
2023-08-18,19:37:48.790447,Friday,73
2023-08-18,21:46:23.079982,Friday,36
2023-08-18,21:47:23.101609,Friday,35
2023-08-18,21:48:23.139416,Friday,33
2023-08-18,21:49:23.166372,Friday,32
2023-08-18,21:50:23.180758,Friday,30
2023-08-18,21:51:23.208990,Friday,29
2023-08-18,21:52:23.289847,Friday,27
2023-08-18,21:53:23.337408,Friday,24
2023-08-18,21:54:23.353841,Friday,22
2023-08-18,21:55:23.443425,Friday,19
2023-08-18,21:56:23.484605,Friday,19
2023-08-18,21:57:23.517989,Friday,17
2023-08-18,21:58:23.548700,Friday,14
2023-08-18,21:59:23.663851,Friday,5
2023-08-18,22:00:23.696864,Friday,4
2023-08-18,22:01:23.714580,Friday,1
2023-08-18,22:02:23.761075,Friday,3
2023-08-18,22:03:23.796729,Friday,1
2023-08-18,22:04:23.846015,Friday,1
2023-08-18,22:05:23.872223,Friday,1
2023-08-18,22:06:23.908300,Friday,1
2023-08-18,22:07:23.967123,Friday,1
